x
55754
6259
9991
55293
23603
23118
51068
3416
3655
8826
4893
10114
9908
5781
55573
1452
7326
26092
8450
8301
5573
8545
2776
4087
8780
10640
55669
55233
9337
7319
51714
7534
5868
29766
382
8540
51164
1654
1968
56650
8030
5048
25800
51573
5782
6760
23190
55681
55916
9341
3998
10006
1635
25932
1432
387
4179
23473
9425
528
5962
10565
10048
10049
6197
7803
9802
4735
2782
9135
8773
23291
10097
164
10092
7323
102
3836
4149
10678
1810
9589
2665
81537
4074
9522
6856
3688
3799
523
51582
23062
3840
5594
5151
10672
3964
9246
4615
54625
6737
5920
5696
9976
7453
103
11274
3434
3135
3627
10379
11118
3134
83666
3428
51191
4600
2643
6672
10964
4938
3133
10561
5721
6892
3105
3106
3437
2633
3433
6773
94240
3137
391020
4940
834
5371
3659
3601
10384
3107
151636
55601
5359
8519
51131
64135
10581
5698
9111
4061
837
55337
3429
54739
57674
3669
24138
3430
80833
129607
3123
9636
10346
3959
3665
6772
6890
80830
23586
4599
64108
2634
10410
8638
684
567
219285
91543
8743
58472
5610
5699
54809
2537
6373
4939
5720
51056
3431
64761
4594
23256
7485
23530
81689
55745
5825
900
10559
51138
9443
5867
25972
10477
2339
829
51510
9039
10099
25821
1738
2110
5110
26128
51727
6767
9604
594
11345
9694
10463
1429
51567
9562
27430
10857
5824
440026
23219
2631
1781
4338
128
10558
6342
56947
10175
55860
34
8723
60592
8803
23479
10768
25898
114932
9354
9581
8801
5887
178
10484
7257
51125
9419
10424
26275
10638
8799
10447
3188
23741
8050
79886
23588
64400
55884
157567
54951
83941
79624
221154
51382
80762
11034
8504
9403
55862
9166
7251
65084
10671
9412
10438
6503
241
4067
64092
3122
10875
4688
3310
3937
1436
5777
397
9450
5880
11151
7805
3575
474344
2123
962
199
1043
3109
4542
9535
7305
1512
1536
6039
3055
6850
1794
3113
942
445347
3119
6404
64231
963
1230
3587
3059
3936
1890
2124
5341
3689
5788
1236
2533
4689
4046
2207
3932
9473
22918
50856
9938
3108
7852
4125
7409
2213
51338
11010
4332
7940
864
6352
7133
3115
23643
972
1439
5175
958
2268
330
3683
9103
9595
11031
54440
953
1520
597
10437
10733
9735
5983
580
9134
79733
56992
83879
55215
64785
9837
9055
81930
79682
25788
51053
9768
9787
11130
90417
64151
4001
6491
55839
55706
55165
3070
29028
1854
3832
3925
4751
55010
26271
1894
29899
2146
3148
675
1111
54443
51514
151246
11169
1062
5427
9833
6119
29127
55055
54908
7153
259266
10926
990
1063
83540
4175
10403
79075
8317
54892
7272
11339
7112
1164
1719
7443
23594
79801
699
9319
6240
57405
10592
9493
672
23310
2237
3838
5557
55388
4085
5888
5985
3161
10427
1998
50618
23469
51585
6093
9444
5412
11183
5980
7337
152006
23607
1407
5530
2908
25852
57826
9101
51320
648
1386
23369
10274
29978
490
6651
2060
6249
5771
51366
23411
23063
8899
8065
394
22828
9821
51430
9859
2332
9655
5903
26009
23515
2803
9107
221037
1147
55288
29761
9698
4154
80204
9202
